Nome,Email,CPF,Data_Nascimento,Endereco
Davi Monteiro,davi.monteiro67@email.com,133.903.763-58,1968-09-01,"Rua I, 1583, SP"
Marcelo Vieira,marcelo.vieira70@email.com,296.221.482-80,1999-09-18,"Rua Amazonas, 1028, SC"
Amanda Machado,amanda.machado70@outlook.com,863.157.830-49,1988-09-24,"Rua Gana, 884, BA"
Sophia Oliveira,sophia.oliveira71@outlook.com,191.890.269-16,1968-11-16,"Rua Elmo, 1592, SC"
Daniela Santos,daniela.santos64@yahoo.com,886.557.104-30,1980-12-14,"Av. Brasil, 1193, MT"
Leonardo Monteiro,leonardo.monteiro98@yahoo.com,344.117.412-15,1972-11-23,"Rua I, 216, PR"
Aline Moreira,aline.moreira75@email.com,874.343.168-24,1995-12-21,"Rua H, 297, RJ"
Alice Nascimento,alice.nascimento68@gmail.com,152.431.864-25,1971-02-17,"Av. Paulista, 688, SC"
Priscila Lopes,priscila.lopes53@gmail.com,427.153.377-79,1967-05-27,"Rua Amazonas, 1344, GO"
Thiago Nascimento,thiago.nascimento83@outlook.com,375.316.135-10,1976-06-13,"Av. Paulista, 1538, SC"
Bruno Duarte,bruno.duarte12@outlook.com,929.184.128-29,1998-04-08,"Rua I, 1154, GO"
Sonia Santos,sonia.santos65@yahoo.com,929.616.763-24,2000-06-06,"Rua Gana, 1784, RJ"
Gustavo Barbosa,gustavo.barbosa57@outlook.com,300.932.575-68,1966-05-17,"Rua Gana, 332, RJ"
João Pereira,joão.pereira36@yahoo.com,447.774.895-40,1985-04-08,"Av. Brasil, 1782, BA"
Camila Santos,camila.santos59@gmail.com,105.704.499-82,1996-05-21,"Rua Chile, 1669, ES"
Carolina Machado,carolina.machado78@gmail.com,569.458.779-42,1969-05-09,"Rua H, 1328, SC"
Marcos Ribeiro,marcos.ribeiro47@gmail.com,794.677.629-72,1972-03-28,"Rua Elmo, 1677, GO"
Daniela Guerra,daniela.guerra94@yahoo.com,983.446.958-36,2001-03-09,"Rua das Flores, 548, SP"
Gustavo Batista,gustavo.batista87@email.com,145.159.883-32,1961-06-24,"Av. Paulista, 110, MT"
Aline Santos,aline.santos59@email.com,617.953.453-92,1977-04-16,"Rua Chile, 815, MG"
Eduardo Guerra,eduardo.guerra80@gmail.com,928.577.168-64,1968-04-28,"Rua J, 1640, MT"
Ricardo Dias,ricardo.dias10@email.com,310.469.456-13,1995-07-27,"Rua I, 1901, SC"
Laura Pereira,laura.pereira35@gmail.com,647.513.901-72,2003-03-04,"Rua Amazonas, 838, SP"
Gustavo Rocha,gustavo.rocha72@yahoo.com,843.352.444-70,1974-09-24,"Av. Paulista, 1122, ES"
Rodrigo Silva,rodrigo.silva72@yahoo.com,978.442.662-25,1975-07-06,"Rua Elmo, 1577, SC"
Alice Ribeiro,alice.ribeiro29@yahoo.com,979.996.501-42,1975-02-25,"Rua Chile, 1761, PR"
Ana Santos,ana.santos82@email.com,495.899.244-61,1970-10-18,"Rua Bahia, 993, BA"
Sonia Costa,sonia.costa24@email.com,513.418.477-39,1995-07-18,"Rua Dover, 1917, BA"
Bianca Moreira,bianca.moreira27@gmail.com,101.358.412-10,1978-12-24,"Rua J, 1505, RJ"
Sonia Ribeiro,sonia.ribeiro44@email.com,637.558.440-11,2001-05-06,"Rua Amazonas, 828, SC"
Rafael Carvalho,rafael.carvalho74@email.com,261.424.732-30,1993-10-24,"Rua Amazonas, 1693, RS"
Vanessa Lima,vanessa.lima82@yahoo.com,415.868.565-17,1992-07-03,"Rua I, 1657, RJ"
Letícia Santos,letícia.santos85@yahoo.com,105.416.550-64,1970-03-03,"Av. Paulista, 338, RS"
Fernanda Rodrigues,fernanda.rodrigues51@outlook.com,472.252.399-28,1987-10-18,"Rua J, 1447, GO"
Pedro Rocha,pedro.rocha39@email.com,688.473.126-60,1999-08-22,"Rua Bahia, 405, BA"
Camila Silva,camila.silva16@email.com,786.296.977-13,1974-03-16,"Av. Brasil, 1815, SP"
Camila Vieira,camila.vieira73@gmail.com,415.989.614-75,1991-04-13,"Rua Dover, 1994, PR"
Julia Moreira,julia.moreira27@outlook.com,875.322.184-74,1993-03-15,"Av. Paulista, 1213, MT"
João Machado,joão.machado61@outlook.com,406.680.261-53,1961-11-25,"Av. Paulista, 1840, SC"
Arthur Nunes,arthur.nunes89@outlook.com,244.195.642-36,1996-08-12,"Av. Faro, 48, GO"
Bernardo Dias,bernardo.dias17@email.com,872.662.274-33,1971-10-17,"Rua Gana, 1408, RJ"
Beatriz Silva,beatriz.silva32@gmail.com,991.444.359-74,1992-01-21,"Rua I, 1328, ES"
Arthur Silva,arthur.silva90@email.com,680.701.558-90,1982-05-03,"Av. Paulista, 707, MT"
Vitor Botelho,vitor.botelho40@outlook.com,612.685.238-96,1969-12-04,"Rua Bahia, 443, MT"
Mariana Lopes,mariana.lopes46@gmail.com,387.892.168-67,1973-12-03,"Rua Chile, 1613, GO"
Beatriz Botelho,beatriz.botelho73@gmail.com,607.239.811-57,1984-10-14,"Av. Faro, 18, SP"
Rafael Monteiro,rafael.monteiro64@yahoo.com,450.751.934-88,1980-04-24,"Rua J, 1322, SP"
Ana Dias,ana.dias92@yahoo.com,751.616.170-11,1974-04-08,"Rua Dover, 1878, ES"
Beatriz Martins,beatriz.martins64@email.com,557.386.221-69,1988-03-12,"Av. Paulista, 663, ES"
Bernardo Botelho,bernardo.botelho81@gmail.com,652.213.932-73,1998-01-23,"Rua H, 1465, BA"
Carlos Dias,carlos.dias68@gmail.com,345.339.231-15,1979-12-04,"Av. Paulista, 188, BA"
Gabriel Pereira,gabriel.pereira15@gmail.com,636.503.950-71,1997-08-21,"Rua Bahia, 1066, MT"
Marcos Oliveira,marcos.oliveira54@gmail.com,299.379.181-34,1992-12-27,"Rua I, 938, GO"
Priscila Teixeira,priscila.teixeira53@email.com,659.333.704-47,1965-04-20,"Rua H, 1984, PR"
André Souza,andré.souza91@outlook.com,658.965.892-92,1960-01-25,"Rua I, 1959, BA"
Maria Lopes,maria.lopes39@yahoo.com,756.894.673-54,1974-12-05,"Rua I, 1297, SC"
Rafael Silva,rafael.silva59@outlook.com,622.440.521-90,1966-11-03,"Rua Amazonas, 1526, BA"
Larissa Nascimento,larissa.nascimento37@yahoo.com,968.538.591-62,1960-12-16,"Rua Amazonas, 1836, RJ"
Bernardo Nunes,bernardo.nunes14@gmail.com,518.857.859-95,1981-09-14,"Rua H, 605, BA"
Amanda Ribeiro,amanda.ribeiro18@yahoo.com,740.242.370-92,1968-02-25,"Av. Paulista, 1778, SC"
Eduardo Martins,eduardo.martins70@yahoo.com,698.805.323-94,1993-06-18,"Av. Brasil, 1661, SP"
Renata Batista,renata.batista67@yahoo.com,441.797.645-39,1998-08-20,"Rua Chile, 737, MG"
Sophia Moreira,sophia.moreira69@email.com,869.258.711-56,2003-03-25,"Av. Brasil, 1377, SC"
Davi Pinto,davi.pinto82@yahoo.com,519.691.798-34,1983-08-11,"Rua Gana, 1291, GO"
Leonardo Duarte,leonardo.duarte21@email.com,866.342.772-82,1968-12-06,"Rua I, 433, RS"
Felipe Batista,felipe.batista62@gmail.com,257.549.163-88,2002-06-13,"Av. Faro, 356, MG"
Pedro Pereira,pedro.pereira83@gmail.com,404.426.602-10,2000-03-22,"Rua Dover, 1539, GO"
Diego Nascimento,diego.nascimento41@outlook.com,413.855.116-50,1977-06-15,"Rua Amazonas, 1992, BA"
Gabriel Lima,gabriel.lima96@gmail.com,766.794.452-65,2001-10-22,"Rua Amazonas, 1484, PR"
Bianca Araújo,bianca.araújo56@email.com,995.555.691-37,1972-08-07,"Rua J, 864, MG"
Vitor Marques,vitor.marques77@yahoo.com,523.695.964-30,1968-12-26,"Rua das Flores, 1797, MG"
Marcelo Batista,marcelo.batista73@yahoo.com,737.918.531-20,1965-01-25,"Rua H, 759, RS"
Thiago Batista,thiago.batista61@gmail.com,821.623.493-47,1975-05-12,"Rua I, 1781, ES"
Letícia Carvalho,letícia.carvalho30@yahoo.com,207.412.884-61,2005-02-18,"Rua H, 788, SP"
